timestamp_s,frame_idx,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_8,display_9
0.042,1,221.33,0.08,221.30,0.00,0.00,0.,11.963,0.007,0.014
0.250,6,221.33,0.08,221.30,0.00,0.00,0.,1.963,0.007,0.014
0.458,11,221.30,221.40,0.07,0.00,0.00,0.07,11.966,0.007,0.015
0.667,16,221.40,0.07,221.30,0.00,0.00,0.07,1.966,0.007,0.015
0.875,21,221.34,0.08,221.36,0.00,0.00,0.07,11.966,0.007,0.015
1.083,26,221.34,0.08,221.25,0.00,0.00,0.32,11.962,0.007,0.014
1.292,31,221.34,0.08,221.25,0.00,0.00,0.32,1.962,0.007,0.014
1.500,36,221.350,0.08,221.23,0.00,0.00,0.30,1.960,0.007,0.015
1.708,41,221.30,0.08,221.23,0.00,0.00,0.30,1.960,0.007,0.015
1.917,46,221.53,0.07,221.45,0.00,0.00,0.23,11.975,0.007,0.014
2.125,51,221.53,0.07,221.45,0.00,0.00,0.23,.975,0.007,0.014
2.333,56,221.53,0.07,221.45,0.00,0.00,0.23,1.975,0.007,0.014
2.541,61,221.48,0.08,221.40,0.00,0.00,0.28,1.968,0.007,0.014
2.958,71,221.77,0.08,221.70,0.00,0.00,0.04,1.983,0.007,0.014
3.375,81,221.77,0.08,221.70,0.00,0.00,0.04,11.983,0.007,0.014
3.583,86,221.78,0.08,221.48,0.00,0.00,0.28,11.981,0.007,0.014
4.000,96,221.62,0.08,221.54,0.00,0.00,0.04,11.975,0.007,0.014
4.208,101,221.62,0.08,221.54,0.00,0.00,0.04,.975,0.007,0.014
4.416,106,221.67.,0.08,221.35,0.00,0.00,0.19,1.966,0.007,0.014
4.625,111,221.41,0.08,221.35,0.00,0.00,0.19,11.966,0.007,0.014
5.042,121,221.44,0.08,221.40,0.00,0.00,0.02,1.967,0.007,0.014
5.458,131,221.50,0.08,221.43,0.00,0.00,0.21,1.968,0.007,0.015
5.667,136,221.50,0.08,221.43,0.00,0.00,0.21,11.968,0.007,0.015
5.875,141,221.50,0.08,221.43,0.00,0.00,0.21,1.968,0.007,0.015
6.083,146,221.50,0.08,221.45,0.00,0.00,0.25,1.968,0.007,0.014
6.292,151,0.08,221.45,221.50,0.00,0.00,0.25,1.968,0.007,0.014
6.500,156,221.45,0.08,221.38,0.00,0.00,0.23,11.964,0.007,0.016
6.708,161,221.45,0.08,221.38,0.00,0.00,0.23,11.964,0.007,0.0146
6.916,166,221.45,0.08,221.38,0.00,0.00,0.25,11.964,0.007,0.016
7.125,171,221.58,0.08,221.355,0.00,0.00,0.26,1.974,0.007,0.015
7.333,176,221.58,0.08,221.35,0.00,0.00,0.26,11.974,0.007,0.015
7.541,181,221.59,0.08,221.53,0.00,0.00,0.02,1.976,0.007,0.014
7.750,186,221.59,0.08,221.53,0.00,0.00,0.02,.976,0.007,0.014
7.958,191,221.65,0.08,221.59,0.00,0.00,0.25,1.978,0.007,0.014
8.166,196,221.65,0.08,221.59,0.00,0.00,0.25,11.978,0.007,0.014
8.375,201,221.65,0.08,221.59,0.00,0.00,0.25,1.978,0.007,0.014
8.583,206,221.41,0.07,221.35,0.00,0.00,0.02,11.964,0.007,0.014
9.000,216,221.33,0.08,221.26,0.00,0.00,0.19,1.961,0.007,0.014
9.416,226,221.33,0.08,221.26,0.00,0.00,0.19,11.961,0.007,0.014
9.625,231,221.29,0.07,221.24,0.00,0.00,0.19,1.960,0.007,0.015
9.833,236,221.29,0.07,221.24,0.00,0.00,0.19,11.960,0.007,0.015
10.041,241,221.31,0.07,221.26,0.00,0.00,0.19,1.963,0.007,0.016
10.250,246,221.31,0.07,221.26,0.00,0.00,0.19,11.963,0.007,0.014
10.666,256,221.31,0.07,221.25,0.00,0.00,0.19,1.963,0.007,0.015
11.083,266,221.45,0.08,221.38,0.00,0.00,0.21,1.968,0.007,0.014
11.291,271,221.45,0.08,221.38,0.00,0.00,0.21,.968,0.007,0.014
11.500,276,221.56,0.08,221.51,0.00,0.00,0.21,1.975,0.007,0.014
11.708,281,221.56,0.08,221.51,0.00,0.00,0.21,1.973,0.007,0.014
12.125,291,221.39,0.08,221.34,0.00,0.00,0.19,1.965,0.007,0.015
12.333,296,221.39,0.08,221.34,0.00,0.00,0.19,11.965,0.007,0.015
12.542,301,221.72,0.08,221.67,0.00,0.00,0.00,11.980,0.007,0.014
12.750,306,221.72,0.08,221.67,0.00,0.00,0.00,1.980,0.007,0.014
13.167,316,221.82,0.08,221.77,0.00,0.00,0.23,11.984,0.007,0.014
13.583,326,221.89,0.08,221.83,0.00,0.00,0.04,1.986,0.007,0.014
14.000,336,221.89,0.08,221.83,0.00,0.00,0.04,.986,0.007,0.014
14.208,341,221.75,0.08,221.69,0.00,0.00,0.18,1.974,0.007,0.014
14.416,346,221.75,0.08,221.69,0.00,0.00,0.18,11.974,0.007,0.014
14.625,351,221.68,0.08,221.62,0.00,0.00,0.02,1.971,0.007,0.015
14.833,356,221.68,0.08,221.62,0.00,0.00,0.02,11.971,0.007,0.015
15.041,361,221.58,0.07,221.52,0.00,0.00,0.16,11.971,0.007,0.015
15.666,376,221.53,0.07,221.48,0.00,0.00,0.23,1.968,0.007,0.014
16.083,386,221.66,0.08,221.60,0.00,0.00,0.18,11.973,0.007,0.014
16.500,396,221.66,0.08,221.60,0.00,0.00,0.18,1.973,0.007,0.014
16.708,401,221.77,0.08,221.73,0.00,0.00,0.26,1.979,0.007,0.014
16.917,406,221.77,0.08,221.73,0.00,0.00,0.26,11.979,0.007,0.014
17.125,411,221.78,0.07,221.73,0.00,0.00,0.07,1.980,0.007,0.014
17.333,416,221.78,0.07,221.73,0.00,0.00,0.07,11.980,0.007,0.014
17.541,421,221.78,0.03,221.75,0.00,0.00,0.07,1.980,0.007,0.014
17.750,426,221.70,0.08,221.66,0.00,0.00,0.25,11.980,0.007,0.015
18.167,436,221.50,0.08,221.45,0.00,0.00,0.07,1.969,0.007,0.014
18.583,446,221.53,0.08,221.49,0.00,0.00,0.18,11.970,0.007,0.015
19.000,456,221.53,0.08,221.49,0.00,0.00,0.18,1.970,0.007,0.015
19.208,461,221.61,0.07,221.57,0.00,0.00,0.16,.972,0.007,0.015
19.417,466,221.61,0.07,221.57,0.00,0.00,0.16,1.972,0.007,0.015
19.625,471,221.64,0.08,221.58,0.00,0.00,0.14,11.971,0.007,0.014
19.833,476,221.64,0.08,221.58,0.00,0.00,0.14,1.971,0.007,0.014
20.042,481,221.64,0.08,221.58,0.00,0.00,0.14,11.971,0.007,0.014
20.250,486,221.59,0.08,221.54,0.00,0.00,0.12,1.971,0.007,0.014
20.667,496,221.51,0.08,221.44,0.00,0.00,0.14,11.968,0.007,0.014
20.875,501,221.51,0.08,221.44,0.00,0.00,0.14,1.968,0.007,0.014
21.083,506,221.598,0.08,221.28,0.00,0.00,0.14,11.966,0.007,0.014
21.292,511,221.59,0.08,221.73,0.00,0.00,0.14,11.984,0.007,0.014
21.500,516,221.59,0.08,221.73,0.00,0.00,0.14,1.984,0.007,0.014
21.708,521,221.58,0.08,221.50,0.00,0.00,0.11,11.970,0.007,0.015
21.917,526,221.58,0.08,221.50,0.00,0.00,0.11,1.970,0.007,0.015
22.125,531,221.90,0.08,221.83,0.00,0.00,359.88,1.986,0.007,0.014
22.333,536,221.90,0.08,221.83,0.00,0.00,359.88,1.984,0.007,0.014
22.542,541,221.90,0.08,221.83,0.00,0.00,359.88,11.984,0.007,0.014
22.750,546,221.96,0.08,221.91,0.00,0.00,0.07,11.987,0.007,0.015
22.958,551,221.96,0.08,221.91,0.00,0.00,0.07,1.987,0.007,0.015
23.167,556,221.87,0.08,221.82,0.00,0.00,359.88,1.986,0.007,0.015
23.375,561,221.87,0.08,221.82,0.00,0.00,359.88,.986,0.007,0.015
23.583,566,221.87,0.08,221.82,0.00,0.00,359.88,1.986,0.007,0.015
23.792,571,221.72,0.08,221.65,0.00,0.00,559.96,11.976,0.007,0.014
24.000,576,221.72,0.08,221.65,0.00,0.00,359.96,11.976,0.007,0.014
